,0,1
/home/muyun99/MyGithub/person_seg/data/train/4802.png,/home/muyun99/MyGithub/person_seg/data/train_mask/4802.png,0
/home/muyun99/MyGithub/person_seg/data/train/3992.png,/home/muyun99/MyGithub/person_seg/data/train_mask/3992.png,0
/home/muyun99/MyGithub/person_seg/data/train/5400.png,/home/muyun99/MyGithub/person_seg/data/train_mask/5400.png,0
/home/muyun99/MyGithub/person_seg/data/train/4235.png,/home/muyun99/MyGithub/person_seg/data/train_mask/4235.png,0
/home/muyun99/MyGithub/person_seg/data/train/3888.png,/home/muyun99/MyGithub/person_seg/data/train_mask/3888.png,0
/home/muyun99/MyGithub/person_seg/data/train/5223.png,/home/muyun99/MyGithub/person_seg/data/train_mask/5223.png,0
/home/muyun99/MyGithub/person_seg/data/train/1356.png,/home/muyun99/MyGithub/person_seg/data/train_mask/1356.png,0
/home/muyun99/MyGithub/person_seg/data/train/3007.png,/home/muyun99/MyGithub/person_seg/data/train_mask/3007.png,0
/home/muyun99/MyGithub/person_seg/data/train/4442.png,/home/muyun99/MyGithub/person_seg/data/train_mask/4442.png,0
/home/muyun99/MyGithub/person_seg/data/train/2265.png,/home/muyun99/MyGithub/person_seg/data/train_mask/2265.png,0
/home/muyun99/MyGithub/person_seg/data/train/2694.png,/home/muyun99/MyGithub/person_seg/data/train_mask/2694.png,0
/home/muyun99/MyGithub/person_seg/data/train/5504.png,/home/muyun99/MyGithub/person_seg/data/train_mask/5504.png,0
/home/muyun99/MyGithub/person_seg/data/train/4108.png,/home/muyun99/MyGithub/person_seg/data/train_mask/4108.png,0
/home/muyun99/MyGithub/person_seg/data/train/4804.png,/home/muyun99/MyGithub/person_seg/data/train_mask/4804.png,0
/home/muyun99/MyGithub/person_seg/data/train/633.png,/home/muyun99/MyGithub/person_seg/data/train_mask/633.png,0
/home/muyun99/MyGithub/person_seg/data/train/3524.png,/home/muyun99/MyGithub/person_seg/data/train_mask/3524.png,0
/home/muyun99/MyGithub/person_seg/data/train/4028.png,/home/muyun99/MyGithub/person_seg/data/train_mask/4028.png,0
/home/muyun99/MyGithub/person_seg/data/train/1751.png,/home/muyun99/MyGithub/person_seg/data/train_mask/1751.png,0
/home/muyun99/MyGithub/person_seg/data/train/5266.png,/home/muyun99/MyGithub/person_seg/data/train_mask/5266.png,0
